,0
62,"{2884 (SC Internal Pod Stab - Extend), 2889 (SC Inner Bleed Valve - Open)} -> {2883 (SC Wellhead Connector Primary - Lock)} (conf: 1.000, supp: 0.003, lift: 259.593, conv: 996147809.959)"
63,"{2883 (SC Wellhead Connector Primary - Lock), 2889 (SC Inner Bleed Valve - Open)} -> {2884 (SC Internal Pod Stab - Extend)} (conf: 1.000, supp: 0.003, lift: 259.593, conv: 996147809.959)"
64,"{2883 (SC Wellhead Connector Primary - Lock), 2884 (SC Internal Pod Stab - Extend)} -> {2889 (SC Inner Bleed Valve - Open)} (conf: 0.815, supp: 0.003, lift: 259.593, conv: 5.383)"
65,"{2889 (SC Inner Bleed Valve - Open)} -> {2883 (SC Wellhead Connector Primary - Lock), 2884 (SC Internal Pod Stab - Extend)} (conf: 1.000, supp: 0.003, lift: 259.593, conv: 996147809.959)"
66,"{2884 (SC Internal Pod Stab - Extend)} -> {2883 (SC Wellhead Connector Primary - Lock), 2889 (SC Inner Bleed Valve - Open)} (conf: 0.815, supp: 0.003, lift: 259.593, conv: 5.383)"
67,"{2883 (SC Wellhead Connector Primary - Lock)} -> {2884 (SC Internal Pod Stab - Extend), 2889 (SC Inner Bleed Valve - Open)} (conf: 0.815, supp: 0.003, lift: 259.593, conv: 5.383)"
68,"{1356 (SC Pipe Rams [Cavity 6] - Open), 1357 (SC Lower Annular - Close)} -> {1358 (SC LMRP Disconnect Indicator Valve - Arm)} (conf: 1.000, supp: 0.003, lift: 233.633, conv: 995719788.843)"
69,"{1358 (SC LMRP Disconnect Indicator Valve - Arm)} -> {1356 (SC Pipe Rams [Cavity 6] - Open), 1357 (SC Lower Annular - Close)} (conf: 0.600, supp: 0.003, lift: 233.633, conv: 2.494)"
70,"{1356 (SC Pipe Rams [Cavity 6] - Open), 1358 (SC LMRP Disconnect Indicator Valve - Arm)} -> {1357 (SC Lower Annular - Close)} (conf: 0.643, supp: 0.003, lift: 225.289, conv: 2.792)"
71,"{1357 (SC Lower Annular - Close)} -> {1356 (SC Pipe Rams [Cavity 6] - Open), 1358 (SC LMRP Disconnect Indicator Valve - Arm)} (conf: 0.900, supp: 0.003, lift: 225.289, conv: 9.960)"
72,"{2881 (SC Lower Annular - Open)} -> {2876 (SC Middle Inner Kill - Open)} (conf: 0.607, supp: 0.002, lift: 223.972, conv: 2.539)"
73,"{2876 (SC Middle Inner Kill - Open)} -> {2881 (SC Lower Annular - Open)} (conf: 0.895, supp: 0.002, lift: 223.972, conv: 9.462)"
74,"{1358 (SC LMRP Disconnect Indicator Valve - Arm)} -> {1357 (SC Lower Annular - Close)} (conf: 0.633, supp: 0.003, lift: 221.952, conv: 2.719)"
75,"{1357 (SC Lower Annular - Close)} -> {1358 (SC LMRP Disconnect Indicator Valve - Arm)} (conf: 0.950, supp: 0.003, lift: 221.952, conv: 19.914)"
76,"{1387 (SC Middle Outer Kill - Open)} -> {1383 (SC Wellhead Connector Primary - Lock)} (conf: 0.842, supp: 0.002, lift: 218.604, conv: 6.309)"
77,"{1383 (SC Wellhead Connector Primary - Lock)} -> {1387 (SC Middle Outer Kill - Open)} (conf: 0.593, supp: 0.002, lift: 218.604, conv: 2.448)"
78,"{1387 (SC Middle Outer Kill - Open)} -> {1384 (SC Internal Pod Stab - Extend)} (conf: 0.842, supp: 0.002, lift: 218.604, conv: 6.309)"
79,"{1384 (SC Internal Pod Stab - Extend)} -> {1387 (SC Middle Outer Kill - Open)} (conf: 0.593, supp: 0.002, lift: 218.604, conv: 2.448)"
80,"{1383 (SC Wellhead Connector Primary - Lock), 1384 (SC Internal Pod Stab - Extend)} -> {1387 (SC Middle Outer Kill - Open)} (conf: 0.593, supp: 0.002, lift: 218.604, conv: 2.448)"
81,"{1387 (SC Middle Outer Kill - Open)} -> {1383 (SC Wellhead Connector Primary - Lock), 1384 (SC Internal Pod Stab - Extend)} (conf: 0.842, supp: 0.002, lift: 218.604, conv: 6.309)"
82,"{1357 (SC Lower Annular - Close), 1358 (SC LMRP Disconnect Indicator Valve - Arm)} -> {1356 (SC Pipe Rams [Cavity 6] - Open)} (conf: 0.947, supp: 0.003, lift: 214.197, conv: 18.916)"
83,"{1356 (SC Pipe Rams [Cavity 6] - Open)} -> {1357 (SC Lower Annular - Close), 1358 (SC LMRP Disconnect Indicator Valve - Arm)} (conf: 0.581, supp: 0.003, lift: 214.197, conv: 2.378)"
84,"{1358 (SC LMRP Disconnect Indicator Valve - Arm)} -> {1356 (SC Pipe Rams [Cavity 6] - Open)} (conf: 0.933, supp: 0.004, lift: 211.024, conv: 14.934)"
85,"{1356 (SC Pipe Rams [Cavity 6] - Open)} -> {1358 (SC LMRP Disconnect Indicator Valve - Arm)} (conf: 0.903, supp: 0.004, lift: 211.024, conv: 10.289)"
86,"{2882 (SC Upper Outer Kill - Close)} -> {2881 (SC Lower Annular - Open)} (conf: 0.833, supp: 0.002, lift: 208.601, conv: 5.976)"
87,"{2881 (SC Lower Annular - Open)} -> {2882 (SC Upper Outer Kill - Close)} (conf: 0.625, supp: 0.002, lift: 208.601, conv: 2.659)"
88,"{1385 (SC Middle Outer Kill - Close)} -> {1383 (SC Wellhead Connector Primary - Lock)} (conf: 0.800, supp: 0.002, lift: 207.674, conv: 4.981)"
89,"{1383 (SC Wellhead Connector Primary - Lock)} -> {1385 (SC Middle Outer Kill - Close)} (conf: 0.593, supp: 0.002, lift: 207.674, conv: 2.448)"
90,"{1385 (SC Middle Outer Kill - Close)} -> {1384 (SC Internal Pod Stab - Extend)} (conf: 0.800, supp: 0.002, lift: 207.674, conv: 4.981)"
91,"{1384 (SC Internal Pod Stab - Extend)} -> {1385 (SC Middle Outer Kill - Close)} (conf: 0.593, supp: 0.002, lift: 207.674, conv: 2.448)"
92,"{1383 (SC Wellhead Connector Primary - Lock), 1384 (SC Internal Pod Stab - Extend)} -> {1385 (SC Middle Outer Kill - Close)} (conf: 0.593, supp: 0.002, lift: 207.674, conv: 2.448)"
93,"{1385 (SC Middle Outer Kill - Close)} -> {1383 (SC Wellhead Connector Primary - Lock), 1384 (SC Internal Pod Stab - Extend)} (conf: 0.800, supp: 0.002, lift: 207.674, conv: 4.981)"
94,"{1357 (SC Lower Annular - Close)} -> {1356 (SC Pipe Rams [Cavity 6] - Open)} (conf: 0.900, supp: 0.003, lift: 203.487, conv: 9.956)"
95,"{1356 (SC Pipe Rams [Cavity 6] - Open)} -> {1357 (SC Lower Annular - Close)} (conf: 0.581, supp: 0.003, lift: 203.487, conv: 2.378)"
96,"{1381 (SC Lower Annular - Open)} -> {1376 (SC Middle Inner Kill - Open)} (conf: 0.645, supp: 0.003, lift: 188.414, conv: 2.809)"
97,"{1376 (SC Middle Inner Kill - Open)} -> {1381 (SC Lower Annular - Open)} (conf: 0.833, supp: 0.003, lift: 188.414, conv: 5.973)"
98,"{1382 (SC Upper Outer Kill - Close)} -> {1381 (SC Lower Annular - Open)} (conf: 0.731, supp: 0.003, lift: 165.225, conv: 3.698)"
99,"{1381 (SC Lower Annular - Open)} -> {1382 (SC Upper Outer Kill - Close)} (conf: 0.613, supp: 0.003, lift: 165.225, conv: 2.574)"
100,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9277 (LMRP HPHT Pressure - Corrected (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.500, supp: 0.002, lift: 97.347, conv: 1.990)"
101,"{9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} (conf: 0.507, supp: 0.003, lift: 91.090, conv: 2.016)"
102,"{9427 (LMRP HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9424 (Stack HPHT Pressure - Raw (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.857, supp: 0.009, lift: 80.640, conv: 6.926)"
103,"{9424 (Stack HPHT Pressure - Raw (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9427 (LMRP HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.846, supp: 0.009, lift: 80.640, conv: 6.410)"
104,"{1404 (Manifold Annular Regulator Pilot Pressure), 1406 (Manifold Regulator Readback Pressure), 1408 (Pod Pressure)} -> {1402 (5000 PSI Supply Readback Pressure), 1417 (Pod Supply Pressure)} (conf: 0.586, supp: 0.002, lift: 72.083, conv: 2.397)"
105,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.968, supp: 0.002, lift: 68.170, conv: 30.560)"
106,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.968, supp: 0.002, lift: 65.853, conv: 30.544)"
107,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.909, supp: 0.002, lift: 64.038, conv: 10.844)"
108,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.938, supp: 0.002, lift: 63.796, conv: 15.765)"
109,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.889, supp: 0.013, lift: 60.526, conv: 8.913)"
110,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} -> {9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.859, supp: 0.013, lift: 60.526, conv: 7.003)"
111,"{1402 (5000 PSI Supply Readback Pressure), 1404 (Manifold Annular Regulator Pilot Pressure), 1417 (Pod Supply Pressure)} -> {1406 (Manifold Regulator Readback Pressure), 1408 (Pod Pressure)} (conf: 0.618, supp: 0.002, lift: 54.160, conv: 2.589)"
112,"{1405 (Riser Connector Primary Lock Readback Pressure), 1417 (Pod Supply Pressure)} -> {1406 (Manifold Regulator Readback Pressure), 1408 (Pod Pressure)} (conf: 0.608, supp: 0.003, lift: 53.233, conv: 2.519)"
113,"{1405 (Riser Connector Primary Lock Readback Pressure), 1408 (Pod Pressure)} -> {1406 (Manifold Regulator Readback Pressure), 1417 (Pod Supply Pressure)} (conf: 0.686, supp: 0.003, lift: 52.815, conv: 3.141)"
114,"{1402 (5000 PSI Supply Readback Pressure), 1404 (Manifold Annular Regulator Pilot Pressure), 1408 (Pod Pressure)} -> {1406 (Manifold Regulator Readback Pressure), 1417 (Pod Supply Pressure)} (conf: 0.667, supp: 0.002, lift: 51.348, conv: 2.961)"
115,"{9407 (Calc Stack Differential Bearing), 9415 (Calc Flexjoint Differential Bearing)} -> {9417 (Subsea Differential Bearing)} (conf: 0.935, supp: 0.002, lift: 50.632, conv: 15.214)"
116,"{2902 (5000 PSI Supply Readback Pressure), 2917 (Pod Supply Pressure)} -> {2908 (Pod Pressure)} (conf: 0.763, supp: 0.002, lift: 50.462, conv: 4.158)"
117,"{2906 (Manifold Regulator Readback Pressure), 2917 (Pod Supply Pressure)} -> {2908 (Pod Pressure)} (conf: 0.754, supp: 0.004, lift: 49.832, conv: 3.997)"
118,"{9407 (Calc Stack Differential Bearing)} -> {9417 (Subsea Differential Bearing)} (conf: 0.767, supp: 0.007, lift: 41.537, conv: 4.221)"
119,"{5201 (HPU - Accumulator Pressure (PT1)), 5202 (HPU - Manifold Pressure (PT2))} -> {5300 (HPU - Surface Hydraulic Flow Meter (Total 1))} (conf: 0.500, supp: 0.004, lift: 34.190, conv: 1.971)"
120,"{9474 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9424 (Stack HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} (conf: 0.538, supp: 0.009, lift: 34.155, conv: 2.133)"
121,"{9424 (Stack HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.570, supp: 0.009, lift: 34.155, conv: 2.287)"
122,"{1402 (5000 PSI Supply Readback Pressure), 1406 (Manifold Regulator Readback Pressure), 1417 (Pod Supply Pressure)} -> {1404 (Manifold Annular Regulator Pilot Pressure), 1408 (Pod Pressure)} (conf: 0.680, supp: 0.002, lift: 33.923, conv: 3.062)"
123,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.667, supp: 0.002, lift: 33.022, conv: 2.939)"
124,"{1404 (Manifold Annular Regulator Pilot Pressure), 1406 (Manifold Regulator Readback Pressure), 1408 (Pod Pressure), 1417 (Pod Supply Pressure)} -> {1402 (5000 PSI Supply Readback Pressure)} (conf: 0.654, supp: 0.002, lift: 31.715, conv: 2.829)"
125,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.638, supp: 0.002, lift: 31.617, conv: 2.709)"
126,"{5202 (HPU - Manifold Pressure (PT2)), 5300 (HPU - Surface Hydraulic Flow Meter (Total 1))} -> {5201 (HPU - Accumulator Pressure (PT1))} (conf: 0.619, supp: 0.004, lift: 30.772, conv: 2.572)"
127,"{1402 (5000 PSI Supply Readback Pressure), 1406 (Manifold Regulator Readback Pressure), 1408 (Pod Pressure)} -> {1404 (Manifold Annular Regulator Pilot Pressure), 1417 (Pod Supply Pressure)} (conf: 0.723, supp: 0.002, lift: 30.729, conv: 3.530)"
